question,answer_llm,answer_orig,document
"Do I have to start on a fixed date, or can I join and work through the material anytime?","You can start whenever you want. The videos and GitHub materials are available, so you don’t have to begin on a fixed date.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"How exactly should I handle homework for each week, from the lesson material to submitting it?","A typical weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

A couple of important points:

- Use the GitHub homework instructions, not only the course platform page.
- Homework usually follows the lesson workflow, but may use a different dataset or ask you to apply the same idea in a slightly different way.
- The course platform is for submission and deadlines; GitHub often has extra context.
- If a homework title contains `[DRAFT]`, it is not final yet and may still change.

If you want, I can also summarize the exact Module 1 homework links and what to check before submitting.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson exercises, or does it change each week?","The homework usually follows the lesson workflow, but it often uses a different dataset or asks you to apply the same idea in a slightly different way.

So it’s not always the exact same exercises, but the concepts are similar.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
I can’t find myself on the leaderboard — how do I locate my entry?,"Click the **“Jump to your record on the leaderboard”** link — your account was given a random display name when it was created, so that link will take you directly to your entry.

If you want to check the name shown publicly, use **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name do I show up under on the leaderboard by default?,"By default, you show up on the leaderboard under a random anonymous display name, such as **“Lucid Elbakyan.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check my display name in the course profile?,Click **“Edit Course Profile”**. Your **display name / public nickname** is the **first field** there.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the nickname that appears for me in the course?,"Yes — you can change the nickname shown publicly in the course by using **Edit Course Profile**. The **first field** is your public nickname for the leaderboard, and the **second field** is the official name for your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What do I need to enter if I want my real name on the certificate instead of the default one?,Enter your real/legal name in the **second field** in **Edit Course Profile** — the name as it appears on your ID documents. This is the name that will be printed on your certificate.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I take the course at my own pace and still get a certificate at the end?,No. You can only get a certificate if you finish the course with a live cohort. Self-paced mode does not award certificates.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is there any way to earn a certificate if I'm not doing the live cohort?,No. You can only get a certificate if you finish the course with a live cohort. Self-paced mode does not award certificates because the certificate requires peer-reviewing 3 capstones while the course is running.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why aren't certificates given for the self-paced version of the course?,"We don't award certificates for the self-paced mode because you need to peer-review 3 capstones after submitting your project, and that can only happen while a live cohort is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to be in the running cohort to do the required peer reviews for the capstone?,"Yes. You need to be in the live/running cohort to do the required peer reviews for the capstone.

The context says:
- you can only peer-review projects **at the time the course is running**
- you need to **peer-review 3 capstones after submitting your project**
- if you don’t participate in peer review of three peers in your cohort, the submission does **not** count toward certification

So self-paced participants cannot complete the peer-review requirement.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I miss the course while it's live, can I still get certified later after finishing it on my own?",No. You can only get a certificate if you finish the course with a live cohort; self-paced completion doesn’t qualify.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Do I need to complete every homework to get the course certificate, or is passing the Capstone enough?","No — you do **not** need to complete every homework to get the certificate. According to the course info, **passing the Capstone project is enough**.

Homework is **not mandatory**; it’s recommended for practice and affects your **leaderboard rank** only.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
I skipped the first assignment — can I still earn the certificate if I pass the final project?,Yes. Homework isn’t mandatory for the certificate — you need to pass the Capstone/final project.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Are homework points required for the certificate, or do they only affect leaderboard ranking?","Homework points are **not required for the certificate**. You only need to **pass the Capstone project** to get the certificate.

Homework is **optional** and its points **only affect your leaderboard ranking**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn't mandatory, what do I actually need to pass to get certified?",You need to pass the **Capstone project** to get the certificate. Homework is **not mandatory**.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Can I miss some homework and still finish the course with a certificate?,Yes. Missing homework will not affect your certificate. Homework isn’t mandatory — you only need to pass the Capstone project to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework keep changing before it’s published?,"If the homework title contains `[DRAFT]`, it’s not ready yet. Until the homework is officially ready, the content can still change.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

So if it keeps changing before publication, that’s expected. Working on it early is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when a homework title has [DRAFT] in it?,It means the homework is not ready yet.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How do I know the homework is actually ready to do?,"The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

If either of those is not true, it can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the homework content still change after I start working on it?,"Yes — until the homework is officially ready, the content can still change.

It’s considered ready only when both are true:
- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

If you start working on it before that, you do so at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to begin homework early if it is marked as draft?,"Yes — but only at your own risk. If the homework is marked `[DRAFT]`, it is not ready yet, and the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will be offered?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know what season or year the course runs again?,I don't know.,Summer 2027.,bd31146b0e
Is there a date for the next course offering yet?,Yes — the next offering is planned for **Summer 2027**.,Summer 2027.,bd31146b0e
When can I take this course again if I miss it now?,I don’t know.,Summer 2027.,bd31146b0e
What's the next scheduled run of this course?,Summer 2027.,Summer 2027.,bd31146b0e
"Is there a place where I can find all the course videos for LLM Zoomcamp, or do I need to search around separately?","Yes — use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there, and **each lesson page has the relevant videos linked at the top**. The GitHub repo is the recommended source because it’s easier to keep updated than the YouTube playlist.

","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where should I start if I want to watch the lectures for this course?,"Start with the **LLM Zoomcamp docs**, the **general Zoomcamp logistics docs**, and the **LLM Zoomcamp GitHub repository**.  
The lecture videos are available there, and you can begin whenever you want.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do the lesson pages in the repo include the video links, or are the videos somewhere else?","Yes — the lesson pages in the repo include the relevant video links at the top of each lesson page. The repo is the main entry point, and you should follow it first.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"I found a YouTube playlist, but is the GitHub repo the better place to use for the latest lecture links?","Yes — use the GitHub repo as the main entry point for the latest lecture links. It’s easier to keep updated than the YouTube playlist. Open the lesson folders there, and each lesson page has the relevant videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How can I quickly locate the right video for each lesson without missing updates?,"Use the **LLM Zoomcamp GitHub repository** as your main source. Open the lesson folders there — **each lesson page has the relevant videos linked at the top**.

To avoid missing updates, **follow the GitHub repo first**, since it’s **easier to keep updated than the YouTube playlist**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I find the LLM Zoomcamp course page with the syllabus and deadlines?,"You can find the LLM Zoomcamp course page with the syllabus, deadlines, homework, and progress tracking on the course management platform:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Is there a place to check homework, progress, and the current cohort structure for LLM Zoomcamp?","Yes — use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **current cohort structure, homework, deadlines, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How can I keep track of my assignments and deadlines in this Zoomcamp?,"Use the **LLM Zoomcamp course management platform** to track your assignments, deadlines, homework, and progress:

https://courses.datatalks.club/llm-zoomcamp-2026/

It shows the current cohort structure, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Which platform should I use for LLM Zoomcamp course management and progress tracking?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the syllabus, deadlines, homework, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Where is the official LLM Zoomcamp dashboard or course management site?,"The official LLM Zoomcamp course management site is:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we get live sessions for every module in this course, or is everything just recorded?","There are **no separate live sessions for every module by default**. The module materials are **pre-recorded and available in the course repo**.

Live sessions are **announced separately** when they happen. If you need help, you can ask in **Slack** and follow the question-asking guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I’m stuck on a lesson, what’s the best way to ask for help?","Ask in Slack and include the code or command output as text, not a screenshot. Also follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are live office hours part of the free course, or do they happen only sometimes?","Live office hours are **not part of every module by default**. The course materials are pre-recorded, and **live sessions are announced separately when they happen**.

If you want extra regular office hours, that’s available through **AI Shipping Labs**, which is **paid**. The free course content itself remains free.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any paid option with regular Zoom office hours for extra support?,Yes. There is an optional paid community called **AI Shipping Labs** that includes **regular Zoom office hours** and additional structure. The main DataTalks.Club course content remains free.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Where can I find the module materials and updates about any live sessions?,"The module materials are available in the course repo, and live sessions are announced separately when they happen.

If you’re stuck, ask in Slack and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
